chr18	150000	699999
chr18	700000	2649999
chr18	2650000	3249999
chr18	3250000	3999999
chr18	4000000	5049999
chr18	5050000	7199999
chr18	7200000	8599999
chr18	8600000	9549999
chr18	9550000	9949999
chr18	9950000	10549999
chr18	10550000	11599999
chr18	11700000	12099999
chr18	12250000	12349999
chr18	12350000	12699999
chr18	12700000	12949999
chr18	12950000	13749999
chr18	14000000	14149999
chr18	14900000	14999999
chr18	18500000	19149999
chr18	19400000	20599999
chr18	20600000	21049999
chr18	21100000	21799999
chr18	21800000	23699999
chr18	23700000	24899999
chr18	24900000	28649999
chr18	28750000	28849999
chr18	29050000	29499999
chr18	29700000	30199999
chr18	30200000	30599999
chr18	30900000	30999999
chr18	31150000	31299999
chr18	31300000	31399999
chr18	31400000	32499999
chr18	32500000	33599999
chr18	33600000	34399999
chr18	34400000	34849999
chr18	34850000	34949999
chr18	35250000	39599999
chr18	39600000	41149999
chr18	41150000	43249999
chr18	43250000	43599999
chr18	43700000	44299999
chr18	44550000	45299999
chr18	45300000	45999999
chr18	46000000	47049999
chr18	47050000	47399999
chr18	47400000	47799999
chr18	47900000	52049999
chr18	52250000	52349999
chr18	52350000	54399999
chr18	54400000	55199999
chr18	55300000	57049999
chr18	57050000	57549999
chr18	57600000	58349999
chr18	58500000	58949999
chr18	58950000	59199999
chr18	59200000	59799999
chr18	59800000	61649999
chr18	61650000	64849999
chr18	64850000	66449999
chr18	66450000	67799999
chr18	67800000	68149999
chr18	68150000	70299999
chr18	70400000	71849999
chr18	71850000	72049999
chr18	72250000	74099999
chr18	74100000	74449999
chr18	74500000	75399999
chr18	75400000	77099999
chr18	77100000	77449999
chr18	77550000	77949999
